# Domain 				Server					Port
gmail.com				smtp.gmail.com				587
live.com				smtp.live.com				587
yahoo.com				smtp.mail.yahoo.com			465
yahoo.co.uk				smtp.mail.yahoo.co.uk			465
yahoo.com.au				smtp.mail.yahoo.com.au			465
att.yahoo.com				smtp.att.yahoo.com			465
office365.com				smtp.office365.com			587
o2.ie					smtp.o2.ie				25
o2.co.uk				smtp.o2.co.uk				25
o2online.de				mail.o2online.de			25
ntlworld.com				smtp.ntlworld.com			465
btopenworld.com				mail.btopenworld.com			25
btinternet.com				mail.btinternet.com			25
btconnect.com				mail.btconnect.com			25
orange.net				smtp.orange.net				25
orange.co.uk				smtp.orange.co.uk			25
wanadoo.co.uk				smtp.wanadoo.co.uk			25
hotmail.com				smtp.live.com				465
t-online.de				securesmtp.t-online.de			587
1and1.com				smtp.1and1.com				587
1und1.de				smtp.1und1.de				587
comcast.net				smtp.comcast.net			587
verizon.net				outgoing.verizon.net			465
yahoo.verizon.net			outgoing.yahoo.verizon.net		587
zoho.com				smtp.zoho.com				465
mail.com				smtp.mail.com				465
gmx.com					smtp.gmx.com				465
163.com             			smtp.163.com 				587
126.com             			smtp.126.com 				587
sina.com.cn				smtp.sina.com.cn 			587
plus.yahoo.com				plus.smtp.mail.yahoo.com		465
aol.com					smtp.aol.com				587
